"Titolo","Prov_Comune","Ben_Finale","Sog_Proponente","Importo","Impegni","Pagamenti","Programma","Articolazione_del_Programma"
"ITR 29 - Recupero ex monastero di Santa Chiara","Comune di Squillace(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","607.306,95","607.306,95","572.816,79","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"ITR 30 - Restauro conservativo e messa in sicurezza della Catted","Comune di Satriano(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","750.000,00","750.000,00","608.314,45","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"SC 16 - Miglioramento della fruibilit� e valorizzazione delle ar","Comune di Catanzaro(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","700.000,00","700.000,00","0,00","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"Valorizzazione Palazzo De Nobili e Complesso Monumentale S.Giova","Comune di Catanzaro(CZ)","COMUNE DI CATANZARO","COMUNE DI CATANZARO","800.000,00","800.000,00","537.965,18","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"PIS O.Re.S.Te. - Recupero e restauro del Castello","Comune di Squillace(CZ)","COMUNE DI SQUILLACE","COMUNE DI SQUILLACE","1.500.000,00","1.500.000,00","448.022,32","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"PIT 14 - Completamento del Museo Calabrese del Costume","Comune di Curinga(CZ)","COMUNE DI CURINGA","COMUNE DI CURINGA","420.000,00","420.000,00","308.805,21","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"PIT 15 - Rec. imm. storico da destinare a pinacoteca e archivio","Comune di Cortale(CZ)","COMUNE DI CORTALE","COMUNE DI CORTALE","700.000,00","700.000,00","452.174,03","Programma Operativo FESR  2007/2013","Azioni per la tutela, la messa a sistema, la valorizzazione e la fruizione del patrimonio culturale della Calabria costituito dalle Aree e dai Parchi Archeologici, dai Castelli e dalle Fortificazioni Militari..."
"Risanamento ambientale fiumare Gallipari, Vod� e Ponzo","Comune di Badolato(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.264.000,00","1.264.000,00","299.763,37","Programma Operativo FESR  2007/2013","Azioni per l�attuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"Riqualificazione e bonifica del fiume Alli","Comune di Catanzaro(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","840.000,00","840.000,00","498.077,36","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"Bonifiche di aree demaniali. Interventi sul fiume Salubro","Comune di Isca Sullo Ionio(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","907.000,00","907.000,00","520.140,20","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"Bonifica del fiume Grizzo in Agro di Montepaone","Comune di Montepaone(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","256.727,24","256.727,24","256.727,24","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"Tutela e risanamento ambientale del fiume Gaccia","Comune di Pianopoli(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","222.155,73","222.155,73","222.155,73","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"RAAD02-01 - Risanamento ambientale aree demaniali nel Comune di ","Comune di Belcastro(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","100.000,00","100.000,00","0,00","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"RAAD02-02 - Risanamento ambientale aree demaniali nel Comune di ","Comune di Borgia(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","180.000,00","180.000,00","0,00","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"RAAD02-03 - Risanamento ambientale aree demaniali nei Comuni di ","Comune di Botricello(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.000.000,00","1.000.000,00","48.701,27","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"RAAD02-04 - Risanamento ambientale aree demaniali nel Comune di ","Comune di Cortale(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","130.000,00","130.000,00","0,00","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"RAAD02-06 - Risanamento ambientale aree demaniali nel Comune di ","Comune di Davoli(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","240.000,00","240.000,00","0,00","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"RAAD02-07 - Risanamento ambientale aree demaniali nel Comune di ","Comune di Guardavalle(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","300.000,00","300.000,00","50.000,00","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"RAAD02-08 - Risanamento ambientale aree demaniali nel Comune di ","Comune di Montauro(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","100.000,00","100.000,00","0,00","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"RAAD02-09 - Risanamento ambientale aree demaniali nel Comune di ","Comune di Nocera Tirinese(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","160.000,00","160.000,00","0,00","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"RAAD02-10 - Risanamento ambientale aree demaniali nel Comune di ","Comune di Olivadi(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","100.000,00","100.000,00","30.923,81","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"RAAD02-11 - Risanamento ambientale aree demaniali nel Comune di ","Comune di Pentone(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","220.000,00","220.000,00","0,00","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"RAAD02-12 - Risanamento ambientale aree demaniali nel Comune di ","Comune di San Pietro A Maida(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","150.000,00","150.000,00","0,00","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"RAAD02-13 - Risanamento ambientale aree demaniali nel Comune di ","Comune di San Sostene(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","180.000,00","180.000,00","54.000,00","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"RAAD02-14 - Risanamento ambientale aree demaniali nel Comune di ","Comune di Santa Caterina Dello Ionio(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","230.000,00","230.000,00","27.954,95","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"RAAD02-15 - Risanamento ambientale aree demaniali nel Comune di ","Comune di Satriano(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","100.000,00","100.000,00","30.000,00","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"RAAD02-16 - Risanamento ambientale aree demaniali nel Comune di ","Comune di Sellia Marina(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","220.000,00","220.000,00","0,00","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"RAAD02-17 - Risanamento ambientale aree demaniali nel Comune di ","Comune di Soverato(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","220.000,00","220.000,00","0,00","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"RAAD02-18 - Risanamento ambientale aree demaniali nei Comuni di ","Comune di Squillace(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","600.000,00","600.000,00","16.107,84","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"DARD03 - Realizzazione Nuova discarica a servizio dell esistente","Comune di Lamezia Terme(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","2.000.000,00","2.000.000,00","0,00","Programma Operativo FESR  2007/2013","Azioni per lﾒadeguamento del sistema impiantistico regionale dei rifiuti."
"DARD12 - Adeguamento e potenziamento dell esistente impianto di ","Comune di Catanzaro(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","7.000.000,00","7.000.000,00","0,00","Programma Operativo FESR  2007/2013","Azioni per lﾒadeguamento del sistema impiantistico regionale dei rifiuti."
"Adeguamento e razionalizzazione reti distributive nel capolu...","Comune di Serrastretta(CZ)","COMUNE DI SERRASTRETTA","COMUNE DI SERRASTRETTA","728.237,55","728.237,55","0,00","Programma Operativo FESR  2007/2013","Azioni per il completamento, lﾴadeguamento, il riefficientamento e lﾴottimizzazione delle infrastrutture idriche degli ATO del Servizio Idrico Integrato (reti di distribuzione idrica, reti fognarie, depuratori)."
"Recupero perdite nella rete idrica nel Comune di Cardinale","Comune di Cardinale(CZ)","COMUNE DI CARDINALE","COMUNE DI CARDINALE","773.750,03","773.750,03","146.750,00","Programma Operativo FESR  2007/2013","Azioni per il completamento, lﾴadeguamento, il riefficientamento e lﾴottimizzazione delle infrastrutture idriche degli ATO del Servizio Idrico Integrato (reti di distribuzione idrica, reti fognarie, depuratori)."
"Ristrutturazione ed ampliamento rete idrica comunale di Fero...","Comune di Feroleto Antico(CZ)","COMUNE DI FEROLETO ANTICO","COMUNE DI FEROLETO ANTICO","278.923,24","278.923,24","103.510,78","Programma Operativo FESR  2007/2013","Azioni per il completamento, lﾴadeguamento, il riefficientamento e lﾴottimizzazione delle infrastrutture idriche degli ATO del Servizio Idrico Integrato (reti di distribuzione idrica, reti fognarie, depuratori)."
"Recupero perdite nella rete idrica nel Comune di S.Caterina I.","Comune di Santa Caterina Dello Ionio(CZ)","COMUNE DI S.CATERINA DELLO JONIO","COMUNE DI S.CATERINA DELLO JONIO","708.856,18","708.856,18","158.181,83","Programma Operativo FESR  2007/2013","Azioni per il completamento, lﾴadeguamento, il riefficientamento e lﾴottimizzazione delle infrastrutture idriche degli ATO del Servizio Idrico Integrato (reti di distribuzione idrica, reti fognarie, depuratori)."
"Lavori di collettamento delle Frazioni di Papanice , Aprigli...","Comune di Vallefiorita(CZ)","Regione Calabria - Dipartimento 9 - Lavori pubblici ","COMUNE DI CROTONE","720.987,46","720.987,46","221.319,00","Programma Operativo FESR  2007/2013","Azioni per il completamento, lﾴadeguamento, il riefficientamento e lﾴottimizzazione delle infrastrutture idriche degli ATO del Servizio Idrico Integrato (reti di distribuzione idrica, reti fognarie, depuratori)."
"ACC.CZ263 - Adeguamento e potenziamento rete fognaria","Comune di Isca Sullo Ionio(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","450.000,00","450.000,00","86.927,21","Programma Operativo FESR  2007/2013","Azioni per il completamento, lﾴadeguamento, il riefficientamento e lﾴottimizzazione delle infrastrutture idriche degli ATO del Servizio Idrico Integrato (reti di distribuzione idrica, reti fognarie, depuratori)."
"ACC.CZ265 - Realizzazione impianto di depurazione","Comune di Borgia(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","650.000,00","650.000,00","18.360,00","Programma Operativo FESR  2007/2013","Azioni per il completamento, lﾴadeguamento, il riefficientamento e lﾴottimizzazione delle infrastrutture idriche degli ATO del Servizio Idrico Integrato (reti di distribuzione idrica, reti fognarie, depuratori)."
"ACC.CZ267 - Completamento della rete fognante nel centro abitato","Comune di Montepaone(CZ)","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","400.000,00","400.000,00","120.000,00","Programma Operativo FESR  2007/2013","Azioni per il completamento, lﾴadeguamento, il riefficientamento e lﾴottimizzazione delle infrastrutture idriche degli ATO del Servizio Idrico Integrato (reti di distribuzione idrica, reti fognarie, depuratori)."
